Index,Raw_Value,Balanced_Value,Hex
99,115792089237316195423570985008687907852837564279074904382605163141518161490849,-3488,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03633a1
100,3488,3488,0xda0
101,3552,3552,0xde0
102,3584,3584,0xe00
103,115792089237316195423570985008687907852837564279074904382605163141518161490721,-3616,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363321
104,3616,3616,0xe20
105,3744,3744,0xea0
106,3872,3872,0xf20
107,115792089237316195423570985008687907852837564279074904382605163141518161490369,-3968,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03631c1
108,3968,3968,0xf80
109,4032,4032,0xfc0
110,4064,4064,0xfe0
111,4096,4096,0x1000
112,115792089237316195423570985008687907852837564279074904382605163141518161490241,-4096,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363141
113,4224,4224,0x1080
114,4256,4256,0x10a0
115,115792089237316195423570985008687907852837564279074904382605163141518161490081,-4256,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03630a1
116,4288,4288,0x10c0
117,115792089237316195423570985008687907852837564279074904382605163141518161490049,-4288,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363081
118,4352,4352,0x1100
119,4512,4512,0x11a0
120,115792089237316195423570985008687907852837564279074904382605163141518161489729,-4608,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362f41
121,4608,4608,0x1200
122,4672,4672,0x1240
123,4704,4704,0x1260
124,115792089237316195423570985008687907852837564279074904382605163141518161489601,-4736,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362ec1
125,4736,4736,0x1280
126,4832,4832,0x12e0
127,4864,4864,0x1300
128,4896,4896,0x1320
129,115792089237316195423570985008687907852837564279074904382605163141518161489441,-4896,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362e21
130,4928,4928,0x1340
131,115792089237316195423570985008687907852837564279074904382605163141518161489409,-4928,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362e01
132,4992,4992,0x1380
133,5184,5184,0x1440
134,5312,5312,0x14c0
135,5408,5408,0x1520
136,115792089237316195423570985008687907852837564279074904382605163141518161488929,-5408,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362c21
137,5472,5472,0x1560
138,5632,5632,0x1600
139,5792,5792,0x16a0
140,5824,5824,0x16c0
141,115792089237316195423570985008687907852837564279074904382605163141518161488289,-6048,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03629a1
142,6048,6048,0x17a0
143,6208,6208,0x1840
144,115792089237316195423570985008687907852837564279074904382605163141518161488129,-6208,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362901
145,6272,6272,0x1880
146,6304,6304,0x18a0
147,6336,6336,0x18c0
148,115792089237316195423570985008687907852837564279074904382605163141518161488001,-6336,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362881
149,6368,6368,0x18e0
150,115792089237316195423570985008687907852837564279074904382605163141518161487969,-6368,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362861
151,6496,6496,0x1960
152,115792089237316195423570985008687907852837564279074904382605163141518161487809,-6528,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03627c1
153,6528,6528,0x1980
154,6592,6592,0x19c0
155,6752,6752,0x1a60
156,6912,6912,0x1b00
157,6944,6944,0x1b20
158,6976,6976,0x1b40
159,115792089237316195423570985008687907852837564279074904382605163141518161487361,-6976,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362601
160,7072,7072,0x1ba0
161,7232,7232,0x1c40
162,7392,7392,0x1ce0
163,7424,7424,0x1d00
164,7456,7456,0x1d20
165,115792089237316195423570985008687907852837564279074904382605163141518161486881,-7456,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362421
166,7904,7904,0x1ee0
167,8064,8064,0x1f80
168,115792089237316195423570985008687907852837564279074904382605163141518161486241,-8096,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03621a1
169,8096,8096,0x1fa0
170,8192,8192,0x2000
171,8256,8256,0x2040
172,115792089237316195423570985008687907852837564279074904382605163141518161486081,-8256,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0362101
173,8352,8352,0x20a0
174,8672,8672,0x21e0
175,115792089237316195423570985008687907852837564279074904382605163141518161485569,-8768,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361f01
176,8768,8768,0x2240
177,8832,8832,0x2280
178,8992,8992,0x2320
179,9152,9152,0x23c0
180,9184,9184,0x23e0
181,9216,9216,0x2400
182,115792089237316195423570985008687907852837564279074904382605163141518161485121,-9216,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361d41
183,9248,9248,0x2420
184,115792089237316195423570985008687907852837564279074904382605163141518161485089,-9248,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361d21
185,9408,9408,0x24c0
186,115792089237316195423570985008687907852837564279074904382605163141518161484929,-9408,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361c81
187,9472,9472,0x2500
188,9504,9504,0x2520
189,9664,9664,0x25c0
190,115792089237316195423570985008687907852837564279074904382605163141518161484449,-9888,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361aa1
191,9888,9888,0x26a0
192,115792089237316195423570985008687907852837564279074904382605163141518161484321,-10016,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361a21
193,10016,10016,0x2720
194,10112,10112,0x2780
195,10304,10304,0x2840
196,10368,10368,0x2880
197,115792089237316195423570985008687907852837564279074904382605163141518161483969,-10368,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03618c1
198,10432,10432,0x28c0
199,10592,10592,0x2960
200,115792089237316195423570985008687907852837564279074904382605163141518161483681,-10656,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03617a1
201,10656,10656,0x29a0
202,10784,10784,0x2a20
203,10912,10912,0x2aa0
204,10944,10944,0x2ac0
205,10976,10976,0x2ae0
206,115792089237316195423570985008687907852837564279074904382605163141518161483361,-10976,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361661
207,11008,11008,0x2b00
208,115792089237316195423570985008687907852837564279074904382605163141518161483329,-11008,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361641
209,11168,11168,0x2ba0
210,115792089237316195423570985008687907852837564279074904382605163141518161483169,-11168,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03615a1
211,11232,11232,0x2be0
212,11552,11552,0x2d20
213,11584,11584,0x2d40
214,115792089237316195423570985008687907852837564279074904382605163141518161482689,-11648,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03613c1
215,11648,11648,0x2d80
216,115792089237316195423570985008687907852837564279074904382605163141518161482529,-11808,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361321
217,11808,11808,0x2e20
218,12032,12032,0x2f00
219,12064,12064,0x2f20
220,115792089237316195423570985008687907852837564279074904382605163141518161482241,-12096,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361201
221,12096,12096,0x2f40
222,12352,12352,0x3040
223,12512,12512,0x30e0
224,12672,12672,0x3180
225,12704,12704,0x31a0
226,115792089237316195423570985008687907852837564279074904382605163141518161481601,-12736,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360f81
227,12736,12736,0x31c0
228,12864,12864,0x3240
229,115792089237316195423570985008687907852837564279074904382605163141518161481441,-12896,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360ee1
230,12896,12896,0x3260
231,12992,12992,0x32c0
232,13056,13056,0x3300
