timestamp,address,utxo_index,tx_hash,tx_output_n,value_btc,value_satoshi,confirmations,script
2026-08-23T00:08:23.057038,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,19,48906769376773982665727f4d2bfcdf0d2f4edf7a90a31e1709f7680a81e30b,0,5.46e-06,546,141,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057040,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,20,8c4c714a6e5739259f352428fbce3f46390895c0d695b6f39e459afe67d24fbb,0,5.46e-06,546,141,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057042,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,21,b698e5e300ca39de6c782d844024e71b2cbe97f2c77cb8c7bc507c898f9bda57,0,5.46e-06,546,146,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057045,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,22,9dd2d4fa16eba35d07f98ae0ea147e8277b1316e433a77a382042da43a6b3b72,0,1e-05,1000,149,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057047,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,23,6298bd4a100887452f0ee017972273aab188d662cd568d1e17bed209ceb12b7b,5,1.412e-05,1412,155,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057050,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,24,8b98e3547231da230161ee1aba57e75529a9b1479295bc3ccfc349e77ef33ea0,1,1.683e-05,1683,166,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057053,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,25,072fc2be75abf150bdd318fa473b3fb6f8e4f647c60ac52efdd801d8bb0fc408,1,4.533e-05,4533,175,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057055,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,26,0c10d04f11ab2940a2104077425f3fdb75251e3abb38ab9470bc0e1faa84fad1,0,5.46e-06,546,180,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057058,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,27,0c10d04f11ab2940a2104077425f3fdb75251e3abb38ab9470bc0e1faa84fad1,1,5.46e-06,546,180,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057060,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,28,0c10d04f11ab2940a2104077425f3fdb75251e3abb38ab9470bc0e1faa84fad1,2,5.46e-06,546,180,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057062,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,29,0c10d04f11ab2940a2104077425f3fdb75251e3abb38ab9470bc0e1faa84fad1,3,5.46e-06,546,180,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
